Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
ria,@coluvraiah,"https://pbs.twimg.com/media/GTQiAdRbgAAiD-4?format=jpg&name=small, https://pbs.twimg.com/media/GTQiAdRbgAAiD-4?format=jpg&name=small",416,181,3,12K,https://x.com/coluvraiah/status/1816113963563901401,https://x.com/coluvraiah,"PLS SPREAD PO NEED NG RESCUE  #TyphoonCarina #CarinaPH 

umaga palang daw po ay nananawagan na sila sa Cainta Rizal officials to rescue their family, until now wala pang update at may mga bata po :((( 

LOCATION: 3rd St gruar subdivision brgy Santo Domingo cainta Rizal",Jul 24,2024-07-24T14:11:25.000Z
Jon Phenom,@jonphenom,https://pbs.twimg.com/ext_tw_video_thumb/1825692299143081984/pu/img/7vj1T_qLhNEL7Fv-.jpg,,1,,63,https://x.com/jonphenom/status/1825692445587263759,https://x.com/jonphenom,Stuck in my airbnb Day 2 #TyphoonCarina   in #manila #mandaluyong #philippines,Aug 19,2024-08-20T00:32:53.000Z
Wxffles,@wxffles_eth,"https://pbs.twimg.com/media/GTQAnf4bIAA8nmY?format=jpg&name=small, https://pbs.twimg.com/media/GTQAnf4bIAA8nmY?format=jpg&name=small",2,34,16,621,https://x.com/wxffles_eth/status/1816077243338338653,https://x.com/wxffles_eth,gm  Hope everyone from the PH is safe  Go away #TyphoonCarina,Jul 24,2024-07-24T11:45:30.000Z
Jon Phenom,@jonphenom,https://pbs.twimg.com/ext_tw_video_thumb/1825363875719430145/pu/img/72UrTuX3wKNvf6G7.jpg,,,,76,https://x.com/jonphenom/status/1825364092883706044,https://x.com/jonphenom,Tokyo > Puerto Princesa > Cebu City> Manila  And now #TyphoonCarina  in #manila   #mandaluyong #philippines,Aug 18,2024-08-19T02:48:08.000Z
Bayanihan Today,@BayanihanToday,https://pbs.twimg.com/ext_tw_video_thumb/1825493881485709312/pu/img/mVEkt8Yeuo2eGvIr.jpg,,5,1,190,https://x.com/BayanihanToday/status/1825495867958407288,https://x.com/BayanihanToday,"The UAE has generously sent medical aid to the Philippines for COVID-19 and an aid plane to help with the aftermath of Typhoon Carina’s floods.
A great example of international solidarity and support during these challenging times.
Thank you
 #TyphoonCarina #HumanitarianAid",Aug 19,2024-08-19T11:31:45.000Z
bibi,@shuartcake,"https://pbs.twimg.com/media/GTUMhf8bQAA2T5K?format=jpg&name=360x360, https://pbs.twimg.com/media/GTUMhf8bQAA2T5K?format=jpg&name=360x360",200,170,6,25K,https://x.com/shuartcake/status/1816371803281056232,https://x.com/shuartcake,"Help raise funds for the victims of Super Typhoon #CarinaPH through this Non-Profit Paid Raffle Event

 P10 per slot

- like&rt
- all raised funds will be sent to @angatbuhay_ph @kadamayph @SWSFoundationPH 

Donation Form: https://docs.google.com/forms/d/e/1FAIpQLSccDMwNzpnfYL7NxHvO9E7w8iuvLMV_wCfllbLH3q0f0VGv6w/viewform…

#RescuePH #TyphoonCarina",Jul 25,2024-07-25T07:15:59.000Z
Pusang Gala,@pusanggala007,"https://pbs.twimg.com/media/GTwlCZ4bwAMKWGn?format=jpg&name=small, https://pbs.twimg.com/media/GTwlCZ4bwAMKWGn?format=jpg&name=small",82,192,5,4.9K,https://x.com/pusanggala007/status/1818370229388616089,https://x.com/pusanggala007,Reality check.  #TyphoonCarina #BagongPilipinas #editorialcartoon #art,Jul 30,2024-07-30T19:37:01.000Z
cappie  l ia,@belaibunny,"https://pbs.twimg.com/media/GTPcY2maYAITEjm?format=jpg&name=small, https://pbs.twimg.com/media/GTPcY2maYAITEjm?format=jpg&name=small",13,5,,427,https://x.com/belaibunny/status/1816037396770873649,https://x.com/belaibunny,"saw this on fb po, nag-ooffer po sila ng matutuluyan. pls help rt

#CarinaPH #TyphoonCarina",Jul 24,2024-07-24T09:07:10.000Z
PARA sa #TanggolPasada,@PARA_AIT,"https://pbs.twimg.com/media/GTTvqieb0AACwH1?format=jpg&name=small, https://pbs.twimg.com/media/GTTvqieb0AACwH1?format=jpg&name=small",12,12,1,424,https://x.com/PARA_AIT/status/1816340194125308406,https://x.com/PARA_AIT,"Relief packs PARA sa JEEPNEY OPERATORS AND DRIVERS affected by the #TyphoonCarina

Magkaisa tayo, mga commuters at transport workers upang suportahan ang mga napinsala ng Bagyong #CarinaPH",Jul 24,2024-07-25T05:10:22.000Z
PabzkyJah(PUYAT),@sor43542,"https://pbs.twimg.com/media/GTZBbV3XEAAyDQY?format=jpg&name=small, https://pbs.twimg.com/media/GTZBbV3XEAAyDQY?format=jpg&name=small",38,57,,1.2K,https://x.com/sor43542/status/1816711452025110911,https://x.com/sor43542,"Ty po sa lahat ng mga nagshare ng blessings ....
Mamimigay po tau ng 200 packs of relief goods sa Marikina Area pra sa mga nasalanta ng #TyphoonCarina 

(Rice, biscuits, noodles, mineral water,canned goods, coffee, shampoo, bathsoap)
#SB19
@SB19Official
@imszmc 
@Puregold_PH",Jul 25,2024-07-26T05:45:37.000Z
The Wallflower,@potatojin16,"https://pbs.twimg.com/media/GTV4LWEbcAANGOO?format=jpg&name=small, https://pbs.twimg.com/media/GTV4LWEbcAANGOO?format=jpg&name=small",2,5,3,216,https://x.com/potatojin16/status/1816490177424191733,https://x.com/potatojin16,"Flooded. 

Help 
#TyphoonCarina #typhoon #Philippines",Jul 25,2024-07-25T15:06:21.000Z
KimPau Universe Official,@KimpauUniverse,https://pbs.twimg.com/ext_tw_video_thumb/1817440393925206017/pu/img/uwwj5pdowcnQk71x.jpg,31,169,1,3.5K,https://x.com/KimpauUniverse/status/1817440623261290845,https://x.com/KimpauUniverse,"Marilao Bulacan #TyphoonCarina victims 

Courtesy to all KimPau Universe sponsors.

Thank you and God bless us all.

KIMPAU HapiTWOgether OnASAP

#ASAPMostWanted 
#KimPau #PauloAvelino #KimChiu",Jul 27,2024-07-28T06:03:05.000Z
